"","X_id","category"
"735","P00","OBSGYN"
"736","P000","OBSGYN"
"737","P001","OBSGYN"
"738","P002","OBSGYN"
"739","P003","OBSGYN"
"740","P004","OBSGYN"
"741","P005","OBSGYN"
"742","P006","OBSGYN"
"743","P007","OBSGYN"
"744","P008","OBSGYN"
"745","P009","OBSGYN"
"746","P01","OBSGYN"
"747","P010","OBSGYN"
"748","P011","OBSGYN"
"749","P012","OBSGYN"
"750","P013","OBSGYN"
"751","P014","OBSGYN"
"752","P015","OBSGYN"
"753","P016","OBSGYN"
"754","P017","OBSGYN"
"755","P018","OBSGYN"
"756","P019","OBSGYN"
"757","P02","OBSGYN"
"758","P020","OBSGYN"
"759","P021","OBSGYN"
"760","P022","OBSGYN"
"761","P023","OBSGYN"
"762","P024","OBSGYN"
"763","P025","OBSGYN"
"764","P026","OBSGYN"
"765","P027","OBSGYN"
"766","P028","OBSGYN"
"767","P029","OBSGYN"
"768","P03","OBSGYN"
"769","P030","OBSGYN"
"770","P031","OBSGYN"
"771","P032","OBSGYN"
"772","P033","OBSGYN"
"773","P034","OBSGYN"
"774","P035","OBSGYN"
"775","P036","OBSGYN"
"776","P038","OBSGYN"
"777","P039","OBSGYN"
"778","P04","OBSGYN"
"779","P040","OBSGYN"
"780","P041","OBSGYN"
"781","P042","OBSGYN"
"782","P043","OBSGYN"
"783","P044","OBSGYN"
"784","P045","OBSGYN"
"785","P046","OBSGYN"
"786","P048","OBSGYN"
"787","P049","OBSGYN"
"788","P05","OBSGYN"
"789","P050","OBSGYN"
"790","P051","OBSGYN"
"791","P052","OBSGYN"
"792","P059","OBSGYN"
"793","P07","OBSGYN"
"794","P070","OBSGYN"
"795","P071","OBSGYN"
"796","P072","OBSGYN"
"797","P073","OBSGYN"
"798","P08","OBSGYN"
"799","P080","OBSGYN"
"800","P081","OBSGYN"
"801","P082","OBSGYN"
"802","P10","OBSGYN"
"803","P100","OBSGYN"
"804","P101","OBSGYN"
"805","P102","OBSGYN"
"806","P103","OBSGYN"
"807","P104","OBSGYN"
"808","P108","OBSGYN"
"809","P109","OBSGYN"
"810","P11","OBSGYN"
"811","P110","OBSGYN"
"812","P111","OBSGYN"
"813","P112","OBSGYN"
"814","P113","OBSGYN"
"815","P114","OBSGYN"
"816","P115","OBSGYN"
"817","P119","OBSGYN"
"818","P12","OBSGYN"
"819","P120","OBSGYN"
"820","P121","OBSGYN"
"821","P122","OBSGYN"
"822","P123","OBSGYN"
"823","P124","OBSGYN"
"824","P128","OBSGYN"
"825","P129","OBSGYN"
"826","P13","OBSGYN"
"827","P130","OBSGYN"
"828","P131","OBSGYN"
"829","P132","OBSGYN"
"830","P133","OBSGYN"
"831","P134","OBSGYN"
"832","P138","OBSGYN"
"833","P139","OBSGYN"
"834","P14","OBSGYN"
"835","P140","OBSGYN"
"836","P141","OBSGYN"
